Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Albino Sports ||JOOST KLEIN||,@Albinosports,2024-05-14T18:22:42.000Z,False,Israel really thinks they can copy Joost Klein #Justiceforjoost #EBU #eurovision2024 #Europapa,0,0,0,315K,"['#Justiceforjoost', '#EBU', '#eurovision2024', '#Europapa']",[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1776655699629441024/oBl3Uxwr_normal.jpg,https://x.com/Albinosports/status/1790447661369184398,tweet_id:1790447661369184398
Jan Mainka,@jan_mainka,2024-05-14T17:29:03.000Z,True,"Was bin ich immer wieder froh,
dass meine Wahlheimat #Ungarn  
seit 2020 auf eine Teilnahme an dieser
immer geschmackloseren Dekadenz-Party verzichtet #ESC #ESC2024 #Eurovision #eurovision2024",0,0,0,10K,"['#Ungarn', '#ESC', '#ESC2024', '#Eurovision', '#eurovision2024']",[],"['\\U0001f1ed\\U0001f1fa', '\\U0001f44d', '\\U0001f60e']",https://pbs.twimg.com/profile_images/1410338741068181504/Uku4A--t_normal.jpg,https://x.com/jan_mainka/status/1790434162886738414,tweet_id:1790434162886738414
Eurovisionario,@eurovisionario,2024-05-14T17:01:28.000Z,False,"Desglose de resultados:Portugal | Iolanda - 'Grito'#Eurovision | #EurovisionRTVE | #Eurovision2024 

*Las clasificaciones del jurado (11º-26º) incluyen la votación a Países Bajos.",0,0,0,201K,"['#Eurovision', '#EurovisionRTVE', '#Eurovision2024']",[],"['\\U0001f534', '\\U0001f50e', '\\U0001f1f5\\U0001f1f9']",https://pbs.twimg.com/profile_images/1652681294902439937/vlrqrBPs_normal.jpg,https://x.com/eurovisionario/status/1790427219887579537,tweet_id:1790427219887579537
moonbee ,@BMoon_bee,2024-05-14T16:43:36.000Z,False,"FRAUDE À L’EUROVISION ! 
Je vous l’avait dit ! 

« Avant #Eurovision2024 , le gouvernement israélien a embauché un ou plusieurs experts et mis en place des communautés de vote dans des dizaines de pays visant à augmenter les votes populaires pour la chanson  » #Eurovision2024",0,0,0,119K,"['#Eurovision2024', '#Eurovision2024']",[],['\\U0001f1ee\\U0001f1f1'],https://pbs.twimg.com/profile_images/1645545823311151104/uapY2TMq_normal.jpg,https://x.com/BMoon_bee/status/1790422725778903194,tweet_id:1790422725778903194
Renate,@rinsjan,2024-05-14T09:33:24.000Z,False,"#Europapa klinkt om 12 uur door de kerkklokken: 'Steun in de rug' 
voor #Joostklein #Eurovision2024 #Eurovision  ⁦⁩ ⁦⁩  #nieuwsinperspectief",0,0,0,1.3K,"['#Europapa', '#Joostklein', '#Eurovision2024', '#Eurovision', '#nieuwsinperspectief']","['@lidwienNews', '@Wiep13396680', '@J41963735', '@Ine007']",[],https://pbs.twimg.com/profile_images/1317397909248397313/2LLkHCKf_normal.jpg,https://x.com/rinsjan/status/1790314462483816923,tweet_id:1790314462483816923
Ciarán G. Ó Raghallaigh,@WascUrito,2024-05-14T07:01:45.000Z,False,"You really really need to read this, . #Eurovision #Ireland #Eurovision2024",0,0,0,18K,"['#Eurovision', '#Ireland', '#Eurovision2024']",['@Bambiethug'],[],https://pbs.twimg.com/profile_images/1034531665337495554/JZHAD0QK_normal.jpg,https://x.com/WascUrito/status/1790276295495926105,tweet_id:1790276295495926105
M. Markert,@MathiasMarkert,2024-05-14T04:51:12.000Z,True,"Zum #Eurovision2024 #ESC2024 :
Kreml/ Putin Pressesprecherin Maria Zacharowa (Marija Wladimirowna Sacharowa) sagt auf ihrem Telegram-Kanal:
""Die Eurovision 2024 übertrifft jede Orgie, jeden Hexenzirkel und jedes rituelle Sakrileg. Die Beerdigung Westeuropas verläuft reibungslos.""",0,0,0,37K,"['#Eurovision2024', '#ESC2024']",[],[],https://pbs.twimg.com/profile_images/1683845260496064517/IfK18hZf_normal.jpg,https://x.com/MathiasMarkert/status/1790243442716516822,tweet_id:1790243442716516822
Jelle,@Jelle_ESC,2024-05-13T22:02:30.000Z,False,Eigenlijk hoop ik stiekem dat  een aflevering van BOOS gaat maken over de diskwalificatie van Joost Klein en langsgaat bij de EBU. Ik pak mijn popcorn er alvast bij  #Eurovision #joostklein #eurovision2024,0,0,0,7.5K,"['#Eurovision', '#joostklein', '#eurovision2024']",['@debroervanroos'],['\\U0001f37f'],https://pbs.twimg.com/profile_images/1790824818893344769/rapI1w60_normal.jpg,https://x.com/Jelle_ESC/status/1790140589050122715,tweet_id:1790140589050122715
Eurovisionario,@eurovisionario,2024-05-13T20:24:04.000Z,False,"Desglose de resultados:Luxemburgo | Tali - 'Fighter'#Eurovision | #EurovisionRTVE | #Eurovision2024 

*Las clasificaciones del jurado (11º-26º) incluyen la votación a Países Bajos.",0,0,0,149K,"['#Eurovision', '#EurovisionRTVE', '#Eurovision2024']",[],"['\\U0001f534', '\\U0001f50e', '\\U0001f1f1\\U0001f1fa']",https://pbs.twimg.com/profile_images/1652681294902439937/vlrqrBPs_normal.jpg,https://x.com/eurovisionario/status/1790115818639872324,tweet_id:1790115818639872324
Rob,@robrodril,2024-05-13T20:12:29.000Z,False,"Por una vez ha hablado con el idioma de la verdad.
 #Eurovision #Eurovision2024",0,0,0,135K,"['#Eurovision', '#Eurovision2024']",[],[],https://pbs.twimg.com/profile_images/1793763835964256256/1FcAslth_normal.jpg,https://x.com/robrodril/status/1790112902482919886,tweet_id:1790112902482919886
