Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,
Isadora G,@isad125,2024-05-11T20:16:19.000Z,True,"Magnifique, magnifique chanson, j’ai adoré",0,0,0,584,[],[],[],https://pbs.twimg.com/profile_images/1601911471226642433/lGHPjRqi_normal.jpg,https://x.com/isad125/status/1789389092142153832,tweet_id:1789389092142153832,
Frigide Bergé,@Lofabinou,2024-05-11T20:04:22.000Z,False,"Chanson pas top , et en plus elle chantait pas super juste !",0,0,0,151,[],[],[],https://pbs.twimg.com/profile_images/1742076414784831488/0_RO7WrV_normal.jpg,https://x.com/Lofabinou/status/1789386086172520486,tweet_id:1789386086172520486,
TistoAries,@tistoaries,2024-05-12T18:09:16.000Z,False,,0,0,0,14,[],[],['\\U0001f1f5\\U0001f1f8'],https://pbs.twimg.com/profile_images/1676329822463700992/dVhm_kee_normal.jpg,https://x.com/tistoaries/status/1789719506954141960,tweet_id:1789719506954141960,
cazz départ,@line_coco,2024-05-11T19:40:53.000Z,False,"Une voix extraordinaire ( c'est aussi un concours de chant, pour ceux qui l'oublieraient), de l'élégance (contrairement à beaucoup), une chanson qui m'a donné des frissons.
Je vote POUR ",0,0,0,380,[],[],"['\\u2764\\ufe0f', '\\u2764\\ufe0f', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1476638857991008260/YmnNV6zM_normal.jpg,https://x.com/line_coco/status/1789380177077617146,tweet_id:1789380177077617146,
Rose φ,@Rose7sa,2024-05-11T19:42:03.000Z,False,"Encore une fois que du spectacle, des effets spéciaux grandioses, mais où sont les chanteurs, les voix de talent ? C'est un concours de chants ou d'effets spéciaux ?",0,0,0,318,[],[],['\\U0001f644'],https://pbs.twimg.com/profile_images/1742736011283558400/h9G_n_Tm_normal.jpg,https://x.com/Rose7sa/status/1789380468539895827,tweet_id:1789380468539895827,
balabla,@balabla23607427,2024-05-11T19:39:37.000Z,False,,0,0,0,518,[],[],[],https://pbs.twimg.com/profile_images/1594069251773681666/KCQc2fup_normal.jpg,https://x.com/balabla23607427/status/1789379854481162290,tweet_id:1789379854481162290,
MiniMax,@MiniMaxGaymer,2024-05-11T19:43:12.000Z,False,Balek on aurait voulu les pays bas et pas eux ,0,0,0,862,[],[],['\\U0001f62e\\u200d\\U0001f4a8'],https://pbs.twimg.com/profile_images/1787149639487029248/a0hZK0nE_normal.jpg,https://x.com/MiniMaxGaymer/status/1789380759012200493,tweet_id:1789380759012200493,
まっぴょんです。||Padam truther|,@UchuuRaion,2024-05-11T19:38:54.000Z,False,,0,0,0,825,[],[],['\\U0001f1f5\\U0001f1f8'],https://pbs.twimg.com/profile_images/806963068873871360/UF5Ry3vR_normal.jpg,https://x.com/UchuuRaion/status/1789379674633593105,tweet_id:1789379674633593105,
asgirninoh,@Asgirninoh98,2024-05-11T19:39:24.000Z,False,pourquoi le numéro 6 n'est pas passé ?,0,0,0,1.4K,[],[],[],https://pbs.twimg.com/profile_images/1775490260899598337/thAaxmvD_normal.jpg,https://x.com/Asgirninoh98/status/1789379802941603847,tweet_id:1789379802941603847,
Emmanuel Macron,@EmmanuelMacron,2024-05-25T18:25:04.000Z,True,"Les frappes russes sur un centre commercial de Kharkiv viennent de faire de nombreuses victimes. Des enfants, des femmes, des hommes. Des familles. C'est inacceptable.

La France partage la peine des Ukrainiens et reste pleinement mobilisée à leurs côtés.",0,0,0,222K,[],[],[],https://pbs.twimg.com/profile_images/1550535324501164032/0lTW_4tj_normal.jpg,https://x.com/EmmanuelMacron/status/1794434523972731097,tweet_id:1794434523972731097,
Info France 2,@infofrance2,2024-05-25T17:31:35.000Z,False," DIRECT ""Ne permettez pas que la république islamique traite ainsi les Iraniens"" déclare le réalisateur Iranien Mohammad Rasoulof qui vient de recevoir un prix spécial du Jury au festival de Cannes.",0,0,0,33K,[],[],"['\\U0001f534', '\\U0001f5e3']",https://pbs.twimg.com/profile_images/1605108670605529090/VnYr6XIc_normal.png,https://x.com/infofrance2/status/1794421066883846432,tweet_id:1794421066883846432,
jean-michel aphatie,@jmaphatie,2024-05-25T13:45:23.000Z,True,"Donc, un sondage rétablit la vérité. Jeudi soir,  a triomphé de  Et je reconnais mon erreur, qui est sans doute une faute. Spectateur du match, j’avais cru voir un score de 5-0 en faveur du premier ministre. Il semblerait qu’une presbytie subite et une",0,0,0,276K,[],"['@J_Bardella', '@GabrielAttal']",[],https://pbs.twimg.com/profile_images/967226810491686912/KQckYYC6_normal.jpg,https://x.com/jmaphatie/status/1794364142041579726,tweet_id:1794364142041579726,
Lizzle_,@Dilligaf_268,2024-05-11T19:37:04.000Z,False,This is the Reality not the Fake Applause you hear on TV. #Eurovision2024 #Eurovision #EurovisionSongContest #FreePalestine ,0,0,0,0,"['#Eurovision2024', '#Eurovision', '#EurovisionSongContest', '#FreePalestine']",[],['\\U0001f349'],https://pbs.twimg.com/profile_images/1667470252794425350/wFoMKLaC_normal.jpg,https://x.com/i/status/1789017795226644806,tweet_id:1789017795226644806,
30RoE,@30RoE,2024-05-11T20:38:54.000Z,True,And what a shame.,0,0,0,2.1K,[],[],[],https://pbs.twimg.com/profile_images/1023374771881435137/KeN_-5XQ_normal.jpg,https://x.com/30RoE/status/1789394774467768494,tweet_id:1789394774467768494,
Abraham,@AbrahamAubry,2024-05-11T20:11:56.000Z,True,Jerks,0,0,0,2.9K,[],[],[],https://pbs.twimg.com/profile_images/1789769415707201536/nFDhsi-X_normal.jpg,https://x.com/AbrahamAubry/status/1789387987874119743,tweet_id:1789387987874119743,
Reinout Besters,@ReinoutBesters,2024-05-11T19:43:02.000Z,False,,0,0,0,2.6K,[],[],[],https://pbs.twimg.com/profile_images/1039116754532937728/w7AKlO2B_normal.jpg,https://x.com/ReinoutBesters/status/1789380715076882755,tweet_id:1789380715076882755,
Craig Harrison,@peg_leg5125,2024-05-11T21:50:18.000Z,False,"Someone give the clapping seal a fish, it's hungry.",0,0,0,198,[],[],[],https://pbs.twimg.com/profile_images/1727299846615261184/PM_vJul5_normal.jpg,https://x.com/peg_leg5125/status/1789412741934981274,tweet_id:1789412741934981274,
Peter Dupont,@pdupont4,2024-05-11T22:49:56.000Z,False,Europe voted for Israel.,0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1733930245600747520/3Qfjf2OO_normal.jpg,https://x.com/pdupont4/status/1789427750584865243,tweet_id:1789427750584865243,
Jeck op Nase,@OpNase,2024-05-11T20:12:06.000Z,False,All against one  pretty lousy to me.,0,0,0,174,[],[],['\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f'],https://pbs.twimg.com/profile_images/1226146516101980160/sLHDK6Ru_normal.jpg,https://x.com/OpNase/status/1789388031356543432,tweet_id:1789388031356543432,
Callum Stirling,@1CallumStirling,2024-05-11T20:06:43.000Z,False,Best song so far ,0,0,0,1.1K,[],[],['\\U0001f937\\u200d\\u2642\\ufe0f'],https://pbs.twimg.com/profile_images/1434982230049361927/kSCkIf6y_normal.jpg,https://x.com/1CallumStirling/status/1789386676793430194,tweet_id:1789386676793430194,
Shae,@shaesfreezeria,2024-05-11T20:15:08.000Z,False,Don’t worry. The boos were still audible over tv,0,0,0,893,[],[],[],https://pbs.twimg.com/profile_images/1437243374965231618/L7zwkBCv_normal.jpg,https://x.com/shaesfreezeria/status/1789388795315429461,tweet_id:1789388795315429461,
PP,@PEPkafimudin,2024-05-11T20:18:09.000Z,False,Sve bih vas u logor poslao pedecine jedne,0,0,0,458,[],[],[],https://pbs.twimg.com/profile_images/1624171823612014593/Gtn4coZK_normal.jpg,https://x.com/PEPkafimudin/status/1789389551787475263,tweet_id:1789389551787475263,
aaron,@a5r0n,2024-05-11T20:01:04.000Z,False,,0,0,0,284,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/a5r0n/status/1789385254081294829,tweet_id:1789385254081294829,
Kevin Brödersdorf,@BroediBeastYT,2024-05-11T20:09:42.000Z,False,,0,0,0,1.2K,[],['@Normi942'],[],https://pbs.twimg.com/profile_images/675267347414949888/WnfJCkUe_normal.jpg,https://x.com/BroediBeastYT/status/1789387426470752417,tweet_id:1789387426470752417,
FORMER COKE WHORE,@ChristopherX250,2024-05-11T19:54:15.000Z,False,"We know. We don't care. Europeans booing Jews is nothing new, and frankly considering your history: It could have been much worse.",0,0,0,734,[],[],[],https://pbs.twimg.com/profile_images/1569076712599691264/-vvGlprx_normal.jpg,https://x.com/ChristopherX250/status/1789383537147224457,tweet_id:1789383537147224457,
McLaren MP4-23,@2008_Mclaren,2024-05-11T19:43:32.000Z,False,Fake applause for a fake country,0,0,0,7K,[],[],[],https://pbs.twimg.com/profile_images/1620539033171496960/-FT-sK1l_normal.jpg,https://x.com/2008_Mclaren/status/1789380842399133709,tweet_id:1789380842399133709,
Kara⁷,@horsiechiq,2024-05-11T19:51:00.000Z,False,There were times they fully muted the crowd on the broadcast too. That’s when it was clear how bad it must be in the arena.,0,0,0,4.6K,[],[],[],https://pbs.twimg.com/profile_images/1775111824955817984/Jnd1GLqT_normal.jpg,https://x.com/horsiechiq/status/1789382722307162221,tweet_id:1789382722307162221,
ViajeroMorboso,@SafadoViajero,2024-05-11T20:11:31.000Z,False,The applause you hear on TV are fake as Israel,0,0,0,124,[],[],[],https://pbs.twimg.com/profile_images/1332023174129618945/EZjcJk4E_normal.jpg,https://x.com/SafadoViajero/status/1789387885579301012,tweet_id:1789387885579301012,
M M,@MM2734901838771,2024-05-11T20:16:27.000Z,False,"ZIONISM IS NAZISM.

ISRAEL IS TODAY'S NAZI STATE",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/1721877193415184384/k0ZOWoIA_normal.png,https://x.com/MM2734901838771/status/1789389124765442511,tweet_id:1789389124765442511,
Mac Giolla Phóil,@thealexmorgann,2024-05-11T20:01:19.000Z,False,We couldnt hear it on TV,0,0,0,911,[],[],[],https://pbs.twimg.com/profile_images/1688916269289103360/1KMa8Ipk_normal.jpg,https://x.com/thealexmorgann/status/1789385318975537448,tweet_id:1789385318975537448,
