Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Ebru Ağırbaş,@ebrtrpnc,2024-05-09T23:00:00.000Z,False,21 yılda ne kadar da batıdan uzaklaştık üzücü,0,0,0,192,[],[],[],https://pbs.twimg.com/profile_images/1630596142680383488/0QchR59l_normal.jpg,https://x.com/ebrtrpnc/status/1788705510130143701,tweet_id:1788705510130143701
Beta,@betabetabeta222,2024-05-09T21:19:51.000Z,False,Sesini sevemedim,0,0,0,406,[],[],[],https://pbs.twimg.com/profile_images/1793016732082229248/rP6_-vJ2_normal.jpg,https://x.com/betabetabeta222/status/1788680306842542448,tweet_id:1788680306842542448
ilke,@ilkeycl,2024-05-09T21:12:52.000Z,False,ışınlandık mı o günlere be,0,0,0,558,[],[],['\\U0001f979'],https://pbs.twimg.com/profile_images/1792105340634333184/AQ1XRB4F_normal.jpg,https://x.com/ilkeycl/status/1788678549534081215,tweet_id:1788678549534081215
Cemâl Efendi,@cemalefendicim2,2024-05-10T06:27:27.000Z,False,"Ben de diyorum, İnsanlik niye o kadar ilerledi artık gözükmüyor... Yorumları okuyunca anladım ki 20 yıl da bir başa geri dönüyoruz.",0,0,0,96,[],[],[],https://pbs.twimg.com/profile_images/1489699096520798213/nDDU-TK3_normal.jpg,https://x.com/cemalefendicim2/status/1788818114525741253,tweet_id:1788818114525741253
Bettyli,@Kisgunessii_,2024-05-09T21:59:48.000Z,False,Gurur,0,0,0,313,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1660617885381697538/a3k9p-BY_normal.jpg,https://x.com/Kisgunessii_/status/1788690359792329039,tweet_id:1788690359792329039
max,@m2003esc,2024-05-09T20:56:38.000Z,False,"easily the most emotional moment of this year's eurovision  

hurricane is such a beautiful song and eden golan performs it flawlessly,  israel is standing strong and proud and it's here to stay no matter the hate! #eurovision #eurovision2024",0,0,0,0,"['#eurovision', '#eurovision2024']",[],"['\\U0001f90d', '\\U0001f1ee\\U0001f1f1', '\\U0001faf6', '\\U0001f54a\\ufe0f']",https://pbs.twimg.com/profile_images/1747731422289305600/6UsbFlEA_normal.jpg,https://x.com/i/status/1788669635476238662,tweet_id:1788669635476238662
TruthSeeker,@IndictTheReich,2024-05-10T05:06:27.000Z,True,Most talentless waste of space.,0,0,0,277,[],[],[],https://pbs.twimg.com/profile_images/1788906247397224448/RRCy-QR4_normal.jpg,https://x.com/IndictTheReich/status/1788797730975866929,tweet_id:1788797730975866929
Jürgeneedabiggerboat,@Razor_LFC,2024-05-09T23:51:20.000Z,False,16k Children Murdered!!! SAOIRSE DON PHALAISTÍN,0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1288109733874786304/VNXiDepJ_normal.jpg,https://x.com/Razor_LFC/status/1788718425277104558,tweet_id:1788718425277104558
Duncan,@DuncanISRL,2024-05-09T21:08:18.000Z,False,,0,0,0,398,[],[],"['\\U0001f1ee\\U0001f1f1', '\\U0001f1ee\\U0001f1f1']",https://pbs.twimg.com/profile_images/1792585318064906241/TAPXDtr9_normal.jpg,https://x.com/DuncanISRL/status/1788677399996961004,tweet_id:1788677399996961004
Unstoppable,@UnstoppableDp,2024-05-10T01:30:58.000Z,False,"Impressive, tears of joy",0,0,0,60,[],[],[],https://pbs.twimg.com/profile_images/1728413469123264512/4CtFItcl_normal.jpg,https://x.com/UnstoppableDp/status/1788743499631776021,tweet_id:1788743499631776021
